name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Eco Automotive Network LLC,India,Textiles & Apparel,1490.1,1490.1,1141.4,23.4,10880,56096,56096,24148,703,39,0.91,42.4,1.14,24.3,26.2,54.2,89.3,false,0.76,0.52,0.89,0.44,0.84,0.82,0.52,0.82,0.64,0.78,0.64,0.87,0.39,0.35,0.35,0.49,0.8,0.69,0.36,,74.8,81.7,78.5,61.8,medium,74.8,74.8,0.81
Ultra Automotive Systems LLC,India,Automotive,882.7,882.7,577.3,34.6,5583,196594,196594,83965,2255,20.9,1.03,41.5,0.87,41.2,51.1,52.9,51.1,false,0.63,0.41,0.51,0.75,0.56,0.64,0.71,0.64,0.85,0.56,0.94,0.57,0.46,0.51,0.47,0.25,0.79,0.51,0.48,,64.2,66.3,70.2,55.4,medium,64.2,64.2,0.81
Future Electronics Holdings,France,Food & Beverage,1434.8,1434.8,1112,22.5,3745,83280,83280,36114,1960,51,0.71,22.5,1.29,47.9,46.6,73.4,67.4,false,0.76,0.65,0.45,0.93,0.46,0.51,0.87,0.68,0.89,0.76,0.55,0.82,0.13,0.36,0.17,0.31,0.87,0.53,0.22,,76.3,85.3,78,62.8,low,76.3,76.3,0.81
Next Textiles & Apparel Solutions Inc.,United Kingdom,Technology,452.5,452.5,400,11.6,2582,61557,61557,28552,475,87.3,0.73,17.4,1.2,31.1,50.7,53.1,86.2,true,0.92,0.71,0.8,0.46,0.49,0.79,0.78,0.73,0.94,0.57,0.65,0.79,0.1,0.27,0.21,0.38,0.79,0.9,0.19,,82.3,86.2,75.7,83.7,low,82.3,82.3,0.81
Prime Energy Manufacturing Ltd.,Singapore,Manufacturing,2545.6,2545.6,2311.4,9.2,10254,106139,106139,53624,1457,26.3,0.98,21.8,1.47,43.8,30,61.6,75.7,false,0.81,0.93,0.56,0.68,0.81,0.52,0.83,0.55,0.71,0.94,0.89,0.75,0.26,0.54,0.15,0.49,0.65,0.57,0.32,,72.9,77.9,82.9,56.1,medium,72.9,72.9,0.81
Ultra Textiles & Apparel Industries Corp.,Singapore,Construction,1670.2,1670.2,1423,14.8,3985,111845,111845,56805,1548,17.2,2.26,37.9,0.82,23.6,22.7,58.6,84.1,false,0.86,0.82,0.45,0.88,0.73,0.54,0.89,0.4,0.51,0.67,0.78,0.7,0.25,0.45,0.29,0.35,0.78,0.93,0.33,,67.7,75.2,59.9,65.4,medium,67.7,67.7,0.81
Modern Construction Network Corp.,China,Energy,4636.9,4636.9,3681.7,20.6,30052,361061,361061,78093,3214,69.1,1.83,34.7,1.45,31.9,30.8,76.6,53.5,true,0.61,0.86,0.84,0.53,0.73,0.56,0.56,0.41,0.58,0.91,0.83,0.87,0.52,0.47,0.31,0.26,0.83,0.94,0.43,,80.9,90.7,70.2,78.4,medium,80.9,80.9,0.81
Premium Construction Corp Ltd.,Germany,Electronics,498.1,498.1,452.8,9.1,2422,89781,89781,43273,1146,65,2.07,22.6,1.46,36,59.3,69.1,74.6,true,0.89,0.49,0.75,0.77,0.83,0.91,0.45,0.63,0.8,0.94,0.65,0.66,0.17,0.15,0.26,0.26,0.61,0.77,0.19,,77.7,79.5,72,81,low,77.7,77.7,0.81
Global Chemicals International Ltd.,Canada,Technology,3066.1,3066.1,2781,9.3,8615,50629,50629,14840,467,72.3,1.53,10.7,1.41,24.9,43.5,41.3,86,true,0.92,0.64,0.56,0.86,0.46,0.95,0.61,0.89,0.61,0.81,0.71,0.57,0.26,0.3,0.2,0.49,0.85,0.7,0.25,,80.7,91.7,69.1,77.6,low,80.7,80.7,0.81
Green Technology Inc Inc.,India,Food & Beverage,3270.6,3270.6,3074.4,6,8585,76361,76361,64422,1183,53.2,1.8,32,1.4,38.7,31.7,58.3,70.4,false,0.82,0.78,0.54,0.74,0.81,0.55,0.53,0.7,0.79,0.74,0.58,0.78,0.36,0.59,0.54,0.45,0.68,0.87,0.5,,73.5,86,70.6,59.9,high,73.5,73.5,0.81
