name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Ultra Electronics Systems Ltd. (Batch 1),India,Manufacturing,2168.6,2168.6,1574.4,27.4,16173,166891,166891,56941,1595,50.3,1.91,26,0.86,48.5,37.5,51.7,66,true,0.91,0.58,0.42,0.83,0.77,0.71,0.83,0.83,0.76,0.86,0.86,0.94,0.17,0.19,0.17,0.38,0.63,0.66,0.18,0,74.7,85.1,65.2,70.4,low,74.7,74.7,0.81
Apex Energy Systems Co. (Batch 1),China,Pharmaceuticals,4460.5,4460.5,3153.6,29.3,15933,121223,121223,26929,1016,29,0.93,41.3,1.45,44.4,35.5,76.5,75.5,true,0.88,0.65,0.64,0.57,0.87,0.94,0.55,0.82,0.84,0.67,0.68,0.73,0.28,0.27,0.25,0.37,0.52,0.64,0.27,0,80.8,78.7,90,74.4,low,80.8,80.8,0.81
Premium Manufacturing Manufacturing Ltd. (Batch 1),Singapore,Electronics,2012.8,2012.8,1783.3,11.4,12226,158867,158867,27219,791,30.4,1.91,35.4,0.92,26.5,57.1,77.5,50.5,true,0.85,0.55,0.69,0.52,0.51,0.81,0.69,0.89,0.72,0.88,0.89,0.55,0.15,0.21,0.14,0.53,0.94,0.68,0.17,0,72.8,79.1,60.5,76.8,low,72.8,72.8,0.81
Superior Pharmaceuticals Solutions LLC (Batch 1),Germany,Pharmaceuticals,2810,2810,2447.5,12.9,20311,91328,91328,26306,815,28.8,2.33,16.8,0.99,47.9,24.9,62.5,71,false,0.92,0.59,0.48,0.94,0.68,0.63,0.48,0.75,0.77,0.87,0.62,0.82,0.36,0.39,0.34,0.23,0.63,0.6,0.36,90,0,78.6,57.2,57,medium,65.7,0,0.81
Pro Automotive Dynamics Corp. (Batch 1),India,Electronics,1196.9,1196.9,828.3,30.8,6535,172850,172850,30222,1197,46.8,2.25,35.1,0.93,37.2,52.6,45.3,65.4,false,0.64,0.56,0.92,0.94,0.67,0.5,0.76,0.84,0.91,0.54,0.84,0.5,0.41,0.43,0.41,0.27,0.7,0.88,0.42,180,0,74,60.2,62,medium,66.3,0,0.81
Modern Technology Holdings Inc. (Batch 1),India,Pharmaceuticals,3669.1,3669.1,2722.5,25.8,27973,97651,97651,20154,593,38,0.37,19,0.82,44.9,48.3,48.6,84.9,true,0.73,0.68,0.52,0.64,0.67,0.54,0.68,0.53,0.65,0.61,0.55,0.77,0.36,0.38,0.36,0.53,0.94,0.69,0.37,105,0,81.4,71.6,79.9,medium,78,0,0.81
Green Textiles & Apparel Manufacturing Co. (Batch 1),France,Construction,1477.5,1477.5,1343,9.1,3089,116123,116123,52444,1538,35.6,2.2,42.5,1.48,36.5,52,50.9,88.2,true,0.77,0.9,0.71,0.8,0.49,0.51,0.73,0.78,0.64,0.82,0.69,0.84,0.49,0.5,0.47,0.33,0.86,0.77,0.49,285,0,80.7,69.5,83.6,medium,78.2,0,0.81
Apex Energy Collective Inc. (Batch 1),Japan,Technology,4764.4,4764.4,4216.5,11.5,19963,47414,47414,25098,440,81.3,0.25,17.9,1.14,45.6,32.7,63.4,88.7,true,0.67,0.48,0.58,0.8,0.8,0.71,0.4,0.42,0.95,0.93,0.53,0.6,0.76,0.78,0.73,0.58,0.93,0.82,0.76,690,0,94.4,79.4,82,critical,86.2,0,0.81
Mega Technology Group LLC (Batch 1),China,Pharmaceuticals,2493,2493,2163.9,13.2,8243,125773,125773,19613,684,65.2,0.32,24,1.23,26.2,42.9,74.3,62.9,true,0.81,0.43,0.45,0.67,0.75,0.77,0.83,0.44,0.75,0.76,0.51,0.89,0.76,0.75,0.73,0.49,0.57,0.76,0.75,675,0,89.6,85.4,73.4,critical,83.4,0,0.81
Green Pharmaceuticals Ventures Ltd. (Batch 1),Germany,Chemicals,4404.2,4404.2,2902.4,34.1,18870,143478,143478,65798,2447,27,0.72,34.3,1.21,41.5,36.7,40.7,80.7,false,0.65,0.59,0.56,0.6,0.9,0.82,0.82,0.53,0.77,0.66,0.86,0.84,0.57,0.6,0.55,0.33,0.64,0.91,0.57,405,0,78.1,88.2,61.7,high,76.2,0,0.81
